                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5179,                 1.8083,                 1.0137,                0.77893,                0.71072,                0.79469,                0.47203,                 1.3425,                 1.5157,                0.96069,             0.00065672,             0.00065672,             0.00065672
                      2,                 1.4078,                 1.0054,                 0.9806,                0.76162,                0.72287,                0.80234,                0.49584,                 1.3117,                  1.048,                0.95087,              0.0012972,              0.0012972,              0.0012972
                      3,                 1.3803,                0.93721,                0.97394,                 0.8185,                0.80683,                0.88205,                0.55883,                 1.2232,                0.90217,                 0.9436,              0.0019112,              0.0019112,              0.0019112
                      4,                 1.3357,                0.87382,                0.96633,                0.84108,                0.85855,                0.92046,                0.58108,                 1.1772,                0.80123,                0.92691,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3084,                0.85435,                0.96234,                0.85812,                0.83916,                0.91444,                 0.5765,                 1.2015,                0.78755,                0.92905,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.2629,                0.82706,                0.94678,                0.83507,                0.81003,                 0.9042,                0.57992,                 1.2031,                0.82799,                0.93381,               0.001802,               0.001802,               0.001802
                      7,                 1.2784,                 0.8085,                 0.9611,                0.86807,                0.84312,                0.91555,                0.59196,                  1.206,                0.72903,                0.93244,              0.0017624,              0.0017624,              0.0017624
                      8,                  1.279,                0.78266,                0.95117,                0.85238,                0.87513,                0.92522,                 0.6088,                 1.1359,                0.71618,                0.91945,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2577,                0.76916,                0.93945,                0.87015,                  0.873,                0.93095,                0.61461,                 1.1617,                0.71589,                0.91542,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.2273,                0.74613,                0.94125,                0.83725,                 0.8949,                0.92878,                0.61193,                 1.1153,                0.72403,                0.91617,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1737,                0.71956,                0.93033,                0.86997,                 0.8711,                0.94273,                 0.6175,                 1.1486,                0.68687,                0.92021,               0.001604,               0.001604,               0.001604
                     12,                  1.202,                0.72502,                0.93452,                0.87915,                0.87513,                0.92752,                0.62676,                 1.1095,                0.66827,                0.91247,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1801,                0.70144,                  0.934,                 0.8554,                0.86491,                0.93105,                0.60889,                 1.1576,                 0.6781,                0.91705,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.1667,                0.68593,                0.92479,                0.87929,                 0.8707,                0.93725,                0.62532,                 1.1154,                0.65188,                0.91409,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.1584,                0.68395,                0.92665,                0.89191,                0.86299,                0.94324,                0.63412,                 1.0986,                0.63601,                0.90664,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.1896,                0.68525,                0.93154,                0.87791,                0.85699,                0.93722,                 0.6268,                 1.1252,                0.63969,                0.91018,               0.001406,               0.001406,               0.001406
                     17,                 1.1305,                0.65987,                0.92292,                0.89999,                0.87086,                0.94334,                0.64738,                 1.0897,                0.61989,                 0.9032,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.1634,                0.68737,                0.92566,                0.87634,                0.89541,                0.94002,                0.63949,                 1.0946,                0.65336,                0.90379,              0.0013268,              0.0013268,              0.0013268
                     19,                  1.131,                0.65373,                0.91721,                0.89563,                0.88367,                0.95374,                0.65083,                 1.0926,                0.60991,                0.90065,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.1395,                0.63746,                0.91611,                0.89216,                0.89328,                0.95082,                0.63346,                 1.1061,                0.61645,                0.91008,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.1334,                0.62536,                 0.9057,                0.90462,                0.88794,                0.96148,                0.65478,                 1.0739,                0.60037,                0.89723,               0.001208,               0.001208,               0.001208
                     22,                 1.1111,                0.62829,                0.91022,                0.89759,                0.89861,                0.95564,                0.65533,                 1.0653,                0.58659,                0.89419,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.0939,                0.61643,                 0.9133,                0.89852,                0.90719,                0.95654,                0.65069,                 1.0901,                0.59969,                 0.9036,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.1013,                0.61756,                0.91013,                 0.9009,                0.90234,                0.95673,                0.66595,                 1.0461,                0.58061,                0.89565,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.0936,                0.62285,                0.90534,                0.90884,                0.88317,                0.95131,                0.66672,                 1.0362,                0.56974,                0.89245,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.0824,                0.60724,                0.90038,                 0.9106,                0.88049,                0.95782,                0.67775,                  1.042,                0.56242,                 0.8932,                0.00101,                0.00101,                0.00101
                     27,                 1.0892,                0.60425,                0.90607,                0.90343,                0.87086,                0.94762,                0.66377,                 1.0428,                0.57317,                0.89442,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.0853,                0.59964,                0.90388,                 0.9118,                0.89371,                0.95925,                0.67228,                 1.0426,                0.56167,                0.89397,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.1003,                0.59894,                0.90621,                0.90563,                0.89648,                0.96499,                0.67116,                 1.0556,                0.56988,                0.89577,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.0772,                0.59719,                0.90629,                0.89322,                0.90169,                 0.9605,                0.66837,                 1.0411,                 0.5587,                0.89384,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.0639,                0.58673,                0.90237,                0.90433,                0.87727,                0.94602,                0.67518,                 1.0156,                0.56217,                 0.8903,               0.000812,               0.000812,               0.000812
                     32,                 1.0597,                0.57756,                0.89873,                0.91447,                0.90181,                0.96047,                0.68653,                 1.0136,                0.54216,                0.88693,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.0588,                 0.5687,                0.89657,                0.87557,                0.93276,                 0.9594,                0.66347,                  1.067,                0.55476,                0.89376,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.0471,                0.56672,                0.89381,                0.90628,                0.88757,                0.95828,                0.67789,                 1.0221,                0.54386,                0.88759,              0.0006932,              0.0006932,              0.0006932
                     35,                  1.032,                0.55803,                 0.8899,                0.89234,                0.91035,                0.95548,                0.66957,                 1.0316,                0.54525,                0.88557,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0147,                0.54582,                0.88524,                0.90741,                0.90997,                0.96525,                 0.6785,                   1.04,                0.53571,                0.88779,               0.000614,               0.000614,               0.000614
                     37,                 1.0376,                0.55793,                 0.8961,                0.89055,                0.91175,                0.95788,                0.67301,                  1.045,                0.53785,                0.89078,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0455,                0.55962,                0.89934,                0.89522,                0.91185,                0.96115,                0.68091,                   1.01,                0.54175,                0.88723,              0.0005348,              0.0005348,              0.0005348
                     39,                  1.035,                0.55598,                0.88974,                0.89843,                0.90822,                 0.9588,                0.68519,                0.99432,                0.53219,                0.88163,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0105,                0.54946,                0.88787,                0.90298,                0.92102,                0.96387,                0.69202,                0.99198,                0.52174,                0.88131,              0.0004556,              0.0004556,              0.0004556
                     41,                 0.9782,                0.52423,                0.88759,                0.92977,                0.90181,                0.96934,                0.68552,                 1.0106,                0.53115,                0.88408,               0.000416,               0.000416,               0.000416
                     42,                0.97377,                0.51872,                0.88623,                0.87515,                0.93514,                0.96098,                0.67307,                 1.0192,                0.53924,                0.88688,              0.0003764,              0.0003764,              0.0003764
                     43,                0.97342,                0.51976,                0.87836,                0.90369,                0.91569,                0.96098,                0.68703,                0.99154,                0.52505,                0.88141,              0.0003368,              0.0003368,              0.0003368
                     44,                0.96744,                0.51264,                0.87876,                0.88761,                0.93383,                0.96175,                0.68869,                0.99255,                0.52057,                0.87926,              0.0002972,              0.0002972,              0.0002972
                     45,                0.95743,                0.50857,                0.87237,                0.90076,                0.92024,                0.96726,                0.69189,                0.98879,                0.51763,                0.87728,              0.0002576,              0.0002576,              0.0002576
                     46,                0.95814,                0.50256,                0.88107,                0.89955,                0.91745,                0.96469,                0.68867,                0.99385,                0.51215,                 0.8809,               0.000218,               0.000218,               0.000218
                     47,                0.94916,                0.49988,                0.87902,                 0.9089,                0.91996,                0.96613,                0.69303,                0.99503,                  0.506,                0.87898,              0.0001784,              0.0001784,              0.0001784
                     48,                0.93846,                0.49045,                0.87641,                0.90544,                0.91977,                0.96572,                0.69341,                0.99529,                0.50533,                0.87933,              0.0001388,              0.0001388,              0.0001388
                     49,                0.94327,                0.48936,                0.87574,                0.92122,                0.91106,                0.96475,                0.69495,                0.97726,                0.50018,                0.87799,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.93638,                0.49014,                0.87543,                0.92199,                0.91142,                0.96513,                  0.697,                 0.9788,                0.49965,                0.87718,               5.96e-05,               5.96e-05,               5.96e-05
